Tiempo (s)	Voltaje (V)
0.0	-0.02174730901606381
0.0002	-0.023359669954515994
0.0004	-0.024327086517587304
0.0006000000000000001	-0.024327086517587304
0.0008	-0.024972030892968178
0.001	-0.026261919643729925
0.0012000000000000001	-0.02593944745603949
0.0014	-0.026261919643729925
0.0016	-0.0269068640191108
0.0018000000000000002	-0.027551808394491673
0.002	-0.027551808394491673
0.0022	-0.02787428058218211
0.0024000000000000002	-0.028196752769872546
0.0026000000000000003	-0.028196752769872546
0.0028	-0.027229336206801236
0.003	-0.028519224957562983
0.0032	-0.02884169714525342
0.0034000000000000002	-0.029164169332943857
0.0036000000000000003	-0.02787428058218211
0.0038	-0.0269068640191108
0.004	-0.02980911370832473
0.004200000000000001	-0.02980911370832473
0.0044	-0.03206641902215779
0.0046	-0.02884169714525342
0.0048000000000000004	-0.027551808394491673
0.005	-0.029486641520634294
0.005200000000000001	-0.031099002459086478
0.0054	-0.03400125214830041
0.0056	-0.02980911370832473
0.0058000000000000005	-0.026584391831420362
0.006	-0.03077653027139604
0.006200000000000001	-0.03174394683446735
0.0064	-0.03464619652368128
0.0066	-0.029486641520634294
0.0068000000000000005	-0.02787428058218211
0.007	-0.03077653027139604
0.007200000000000001	-0.0330338355852291
0.0074	-0.03529114089906216
0.0076	-0.02980911370832473
0.0078000000000000005	-0.028519224957562983
0.008	-0.032388891209848225
0.0082	-0.0330338355852291
0.008400000000000001	-0.03496866871137172
0.0086	-0.031099002459086478
0.0088	-0.030454058083705604
0.009000000000000001	-0.033356307772919536
0.0092	-0.0330338355852291
0.0094	-0.03464619652368128
0.009600000000000001	-0.032388891209848225
0.0098	-0.032388891209848225
0.01	-0.033356307772919536
0.0102	-0.034323724335990846
0.010400000000000001	-0.03464619652368128
0.0106	-0.03496866871137172
0.0108	-0.03367877996060997
0.011000000000000001	-0.034323724335990846
0.0112	-0.03464619652368128
0.0114	-0.034323724335990846
0.011600000000000001	-0.034323724335990846
0.0118	-0.03464619652368128
0.012	-0.035613613086752594
0.0122	-0.03529114089906216
0.012400000000000001	-0.035613613086752594
0.0126	-0.035613613086752594
0.0128	-0.03529114089906216
0.013000000000000001	-0.035613613086752594
0.0132	-0.03690350183751434
